"Taxa","blue","Env","pop1","pop2","pop3","pop4","pop5","pop6","SNPPresence","EnvPresence","SNPAbsence","Phenotype"
11,62.22139134,"Env2",0.003,0.005,0.272,0.004,0.008,0.004,0,0,1,66.1419156021924
12,48.16059552,"Env2",0.965,0.006,0.002,0.002,0.003,0.02,0,0,1,47.245304629054
14,56.11236766,"Env2",0.949,0.003,0.037,0.005,0.002,0.002,0,0,1,50.7421029413024
18,64.09388159,"Env2",0.003,0.565,0.01,0.023,0.005,0.208,1,0,0,66.2859895434006
19,45.70601293,"Env2",0.686,0.007,0.007,0.005,0.005,0.045,1,0,0,45.9874805095607
20,58.73398034,"Env2",0.002,0.002,0.003,0.002,0.981,0.007,1,0,0,65.4782146544819
22,52.6045866,"Env2",0.694,0.046,0.01,0.011,0.158,0.007,0,0,1,48.7596275687599
25,50.10543997,"Env2",0.898,0.006,0.003,0.003,0.003,0.004,1,0,0,54.4439045620953
26,68.5653625,"Env2",0.038,0.005,0.019,0.008,0.918,0.005,0,0,1,74.3951498926183
28,58.62091806,"Env2",0.906,0.035,0.003,0.003,0.003,0.047,0,0,1,56.6203541987015
29,64.32923089,"Env2",0.008,0.013,0.01,0.002,0.904,0.009,1,0,0,71.4597377777087
30,59.45640936,"Env2",0.015,0.024,0.009,0.005,0.057,0.879,0,0,1,60.3649875162281
31,60.63494715,"Env2",0.003,0.002,0.005,0.032,0.947,0.006,1,0,0,62.893303356242
32,50.89892271,"Env2",0.442,0.006,0.463,0.077,0.004,0.006,1,0,0,56.0516508692641
35,47.64454275,"Env2",0.363,0.151,0.008,0.003,0.024,0.059,0,0,1,44.4850543091782
37,48.68485143,"Env2",0.982,0.002,0.002,0.002,0.005,0.003,1,0,0,61.2555615835107
38,53.20608033,"Env2",0.585,0.11,0.25,0.004,0.035,0.008,0,0,1,56.1054164398247
41,46.09061113,"Env2",0.03,0.927,0.024,0.002,0.005,0.007,1,0,0,53.4416903917538
43,48.0050489,"Env2",0.567,0.003,0.154,0.004,0.057,0.212,0,0,1,51.1245629607421
44,60.77988184,"Env2",0.12,0.006,0.008,0.008,0.002,0.004,1,0,0,75.7005280759072
45,46.27793766,"Env2",0.068,0.104,0.199,0.005,0.003,0.007,0,0,1,48.2903904311354
46,48.25465194,"Env2",0.043,0.05,0.487,0.024,0.329,0.043,0,0,1,49.4512264303298
47,67.71688211,"Env2",0.002,0.004,0.003,0.003,0.026,0.008,0,0,1,67.5572194727826
48,48.05583743,"Env2",0.952,0.008,0.007,0.01,0.009,0.009,0,0,1,42.5454514390227
52,52.34333125,"Env2",0.002,0.935,0.015,0.005,0.008,0.029,0,0,1,47.5453097316409
53,56.53355809,"Env2",0.371,0.07,0.007,0.002,0.017,0.008,0,0,1,55.919559971292
55,57.05581093,"Env2",0.949,0.003,0.037,0.005,0.002,0.002,0,0,1,52.1617400929247
56,50.04304747,"Env2",0.005,0.794,0.036,0.003,0.021,0.056,0,0,1,44.8738386664898
57,53.25854102,"Env2",0.003,0.895,0.004,0.007,0.005,0.069,0,0,1,50.4231228469284
58,49.34992086,"Env2",0.641,0.187,0.005,0.035,0.004,0.122,1,0,0,58.520088912424
60,59.61742669,"Env2",0.591,0.02,0.012,0.363,0.003,0.004,0,0,1,56.9403223830711
61,52.54150307,"Env2",0.751,0.041,0.132,0.014,0.048,0.008,1,0,0,59.207923307325
62,49.63530868,"Env2",0.012,0.01,0.007,0.005,0.891,0.017,0,0,1,49.4267590047427
64,57.55144838,"Env2",0.61,0.01,0.004,0.004,0.025,0.105,1,0,0,63.6103108241019
67,44.82909047,"Env2",0.133,0.594,0.256,0.004,0.004,0.005,1,0,0,51.4106917149459
69,64.38363378,"Env2",0.003,0.013,0.008,0.003,0.667,0.068,0,0,1,65.9059262624449
70,47.26990936,"Env2",0.005,0.98,0.005,0.002,0.002,0.003,0,0,1,47.2511091304442
71,55.36154591,"Env2",0.029,0.15,0.004,0.091,0.711,0.01,1,0,0,55.4681424127651
73,53.12564295,"Env2",0.752,0.003,0.032,0.203,0.003,0.002,1,0,0,56.2637192881889
74,49.26996516,"Env2",0.011,0.004,0.961,0.002,0.003,0.016,1,0,0,48.1036220160978
75,50.60863293,"Env2",0.005,0.003,0.004,0.914,0.004,0.056,1,0,0,53.0177146938112
76,53.65198057,"Env2",0.458,0.014,0.004,0.03,0.059,0.426,0,0,1,52.8968079275221
77,63.70369483,"Env2",0.009,0.003,0.961,0.002,0.011,0.004,0,0,1,61.271298487296
78,62.14795099,"Env2",0.009,0.427,0.006,0.003,0.026,0.034,0,0,1,63.3685510165376
79,64.94962621,"Env2",0.009,0.004,0.004,0.002,0.881,0.043,0,0,1,65.7147943107156
82,71.04654606,"Env2",0.002,0.002,0.003,0.002,0.002,0.006,0,0,1,66.309803461076
83,52.05267388,"Env2",0.964,0.003,0.004,0.021,0.002,0.003,1,0,0,58.8306218608729
84,57.38481661,"Env2",0.002,0.002,0.457,0.005,0.527,0.003,1,0,0,67.7551869382337
85,50.51348994,"Env2",0.004,0.002,0.01,0.979,0.002,0.002,1,0,0,60.255896119912
87,70.30214531,"Env2",0.105,0.012,0.035,0.003,0.024,0.004,0,0,1,75.9853096059206
88,48.93070704,"Env2",0.746,0.187,0.009,0.005,0.006,0.045,1,0,0,54.2522405501069
89,60.88747804,"Env2",0.002,0.002,0.002,0.002,0.002,0.002,1,0,0,65.7283144103017
90,57.78758472,"Env2",0.975,0.002,0.014,0.002,0.002,0.002,0,0,1,61.2111154840268
91,48.38744826,"Env2",0.003,0.003,0.002,0.002,0.002,0.982,1,0,0,55.3376409066298
92,47.08594765,"Env2",0.985,0.005,0.002,0.002,0.002,0.002,0,0,1,40.3466079163337
93,60.64075967,"Env2",0.002,0.002,0.002,0.989,0.002,0.002,0,0,1,62.3418808439672
94,59.15313845,"Env2",0.007,0.004,0.004,0.03,0.798,0.155,1,0,0,68.9739024169518
95,45.54809247,"Env2",0.504,0.006,0.009,0.006,0.005,0.466,0,0,1,40.4623402941363
96,58.99715449,"Env2",0.009,0.046,0.006,0.003,0.005,0.926,1,0,0,65.0727362171873
